Training School,District,Ownership,Address,Course Code,Course Name,Start date,EndDate
ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,Government,P.O. BOX 78 - ARUA  0772 580 964 ,DCN,Diploma in Comprehensive Nursing,01/11/2002,01/11/2005
BUSOGA UNIVERSITY SCHOOL OF NURSING,IGANGA,PFP,,CN,Certificate in Midwifery,01/05/2008,01/11/2011
BUSOGA UNIVERSITY SCHOOL OF NURSING,IGANGA,PFP,,CN,Certificate in Midwifery,01/11/2008,01/11/2011
BUSOGA UNIVERSITY SCHOOL OF NURSING,IGANGA,PFP,,CN,Certificate in Midwifery,01/11/2009,01/05/2012
BUSOGA UNIVERSITY SCHOOL OF NURSING,IGANGA,PFP,,CN,Certificate in Midwifery,01/11/2010,01/05/2013
BUSOGA UNIVERSITY SCHOOL OF NURSING,IGANGA,PFP,,CN,Certificate in Nursing,01/11/2008,01/11/2011
BUSOGA UNIVERSITY SCHOOL OF NURSING,IGANGA,PFP,,CN,Certificate in Nursing,01/11/2009,01/05/2012
BUSOGA UNIVERSITY SCHOOL OF NURSING,IGANGA,PFP,,CN,Certificate in Nursing,01/11/2010,01/05/2013
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/05/2001,01/11/2003
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/11/2002,01/05/2005
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/05/2003,01/11/2005
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/11/2003,01/05/2006
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,17/11/2005,17/05/2008
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/11/2005,01/05/2008
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/11/2004,01/05/2007
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,29/11/2004,29/05/2007
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/05/2007,01/11/2009
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,,
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/11/2011,01/05/2014
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/11/2012,01/05/2015
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/05/2008,01/11/2010
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/11/2008,01/05/2011
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/11/2009,01/05/2012
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,CN,Certificate in Mental Health,01/11/2010,01/05/2013
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMHE,Diploma in Mental Health (Extension),01/05/2011,01/11/2012
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/11/2011,01/11/2014
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/11/2012,01/11/2015
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMHE,Diploma in Mental Health (Extension),01/05/2012,01/11/2013
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/11/2010,01/05/2013
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DPN,Diploma in Paediatrics and Child Health Nursing,01/11/2008,01/11/2011
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DPN,Diploma in Paediatrics and Child Health Nursing,01/11/2009,01/11/2012
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/05/2003,01/05/2006
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/11/2003,01/11/2006
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/05/2004,01/05/2007
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,30/05/2005,30/05/2008
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/11/2006,01/11/2009
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/11/2004,01/11/2007
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/01/2007,01/01/2010
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/11/2007,01/11/2010
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/11/2005,01/11/2008
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/11/2008,01/11/2011
BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,KAMPALA,Government,P.O. BOX 363551 - KAMPALA TEL: 0772 464 759 ,DMH,Diploma in Mental Health,01/05/2008,01/05/2011
FLORENCE NIGHTINGALE NURSING SCHOOL,APAC,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2008,01/05/2011
FLORENCE NIGHTINGALE NURSING SCHOOL,APAC,PFP,,CCN,Certificate In Comprehensive Nursing,01/05/2009,01/11/2011
FLORENCE NIGHTINGALE NURSING SCHOOL,APAC,PFP,,CCN,Certificate In Comprehensive Nursing,01/05/2011,01/11/2013
FLORENCE NIGHTINGALE NURSING SCHOOL,APAC,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2009,01/05/2012
FLORENCE NIGHTINGALE NURSING SCHOOL,APAC,PFP,,CCN,Certificate In Comprehensive Nursing,01/05/2010,01/11/2012
FLORENCE NIGHTINGALE NURSING SCHOOL,APAC,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2010,01/05/2013
FORT PORTAL INTERNATIONAL NURSE TRAINING SCHOOL,KABAROLE,PFP,,CN,Certificate in Midwifery,01/05/2012,01/11/2014
FORT PORTAL INTERNATIONAL NURSE TRAINING SCHOOL,KABAROLE,PFP,,CN,Certificate in Midwifery,01/11/2012,01/05/2015
FORT PORTAL INTERNATIONAL NURSE TRAINING SCHOOL,KABAROLE,PFP,,CN,Certificate in Midwifery,01/11/2011,01/05/2014
FORT PORTAL INTERNATIONAL NURSE TRAINING SCHOOL,KABAROLE,PFP,,CN,Certificate in Nursing,01/05/2012,01/11/2014
FORT PORTAL INTERNATIONAL NURSE TRAINING SCHOOL,KABAROLE,PFP,,CN,Certificate in Nursing,01/11/2012,01/05/2015
FORT PORTAL INTERNATIONAL NURSE TRAINING SCHOOL,KABAROLE,PFP,,CN,Certificate in Nursing,01/11/2011,01/05/2014
GOOD SAMARITAN NURSING SCHOOL,LIRA,PFP,,CCN,Certificate In Comprehensive Nursing,01/05/2009,01/11/2011
GOOD SAMARITAN NURSING SCHOOL,LIRA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2008,01/05/2011
GOOD SAMARITAN NURSING SCHOOL,LIRA,PFP,,CCN,Certificate In Comprehensive Nursing,01/05/2010,01/11/2012
GOOD SAMARITAN NURSING SCHOOL,LIRA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2009,01/05/2012
GOOD SAMARITAN NURSING SCHOOL,LIRA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2010,01/05/2013
GOOD SAMARITAN NURSING SCHOOL,LIRA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2011,01/05/2014
GOOD SAMARITAN NURSING SCHOOL,LIRA,PFP,,CCN,Certificate In Comprehensive Nursing,01/05/2011,01/11/2013
GOOD SAMARITAN NURSING SCHOOL,LIRA,PFP,,CN,Certificate in Nursing,01/05/2011,01/11/2013
GULU NURSING TRAINING SCHOOL,GULU,Government,,CN,Certificate in Nursing,01/05/2010,01/11/2012
GULU NURSING TRAINING SCHOOL,GULU,Government,,CN,Certificate in Nursing,01/05/2011,01/11/2013
GULU NURSING TRAINING SCHOOL,GULU,Government,,CN,Certificate in Nursing,01/05/2010,01/11/2013
GULU NURSING TRAINING SCHOOL,GULU,Government,,CN,Certificate in Nursing,01/05/2012,01/11/2014
GULU NURSING TRAINING SCHOOL,GULU,Government,,CN,Certificate in Nursing,01/11/2012,01/05/2015
HOIMA SCHOOL OF NURSING,HOIMA,PFP,,CCN,Certificate In Comprehensive Nursing,01/05/2010,01/11/2012
HOIMA SCHOOL OF NURSING,HOIMA,PFP,,CN,Certificate in Midwifery,01/11/2010,01/05/2013
HOIMA SCHOOL OF NURSING,HOIMA,PFP,,CN,Certificate in Nursing,01/11/2010,01/05/2013
HOIMA SCHOOL OF NURSING,HOIMA,PFP,,CN,Certificate in Nursing,01/05/2010,01/11/2012
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CCN,Certificate In Comprehensive Nursing,01/11/2002,01/05/2005
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CCN,Certificate In Comprehensive Nursing,01/11/2003,01/05/2006
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CCN,Certificate In Comprehensive Nursing,01/05/2004,01/11/2006
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CCN,Certificate In Comprehensive Nursing,23/05/2005,23/11/2007
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CCN,Certificate In Comprehensive Nursing,01/08/2006,01/02/2009
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CCN,Certificate In Comprehensive Nursing,01/11/2007,01/05/2010
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CCN,Certificate In Comprehensive Nursing,01/05/2010,01/11/2012
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CCN,Certificate In Comprehensive Nursing,01/05/2009,01/11/2011
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CCN,Certificate In Comprehensive Nursing,01/11/2008,01/05/2011
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CCN,Certificate In Comprehensive Nursing,01/05/2011,01/11/2013
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CCN,Certificate In Comprehensive Nursing,01/05/2012,01/11/2014
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CN,Certificate in Midwifery,01/05/2004,01/11/2006
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CN,Certificate in Midwifery,01/05/2005,01/11/2007
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CN,Certificate in Midwifery,13/11/2005,13/05/2008
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CN,Certificate in Midwifery,13/11/2006,13/05/2009
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CN,Certificate in Midwifery,01/11/2007,01/05/2010
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CN,Certificate in Midwifery,01/05/2010,01/11/2012
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CN,Certificate in Midwifery,01/05/2009,01/11/2011
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CN,Certificate in Midwifery,01/11/2008,01/05/2011
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CN,Certificate in Midwifery,01/05/2011,01/11/2013
IBANDA SCHOOL OF COMPREHENSIVE NURSING,IBANDA,PNFP,P.O. BOX 103 - IBANDA  0772 889 564 ,CN,Certificate in Midwifery,01/05/2012,01/11/2014
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2006,01/05/2009
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Midwifery,01/05/2009,01/11/2011
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Midwifery,01/11/2009,01/05/2012
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Midwifery,01/05/2010,01/11/2012
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Midwifery,01/11/2010,01/05/2013
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Midwifery,01/05/2011,01/11/2013
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Nursing,01/05/2008,01/11/2010
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Nursing,01/05/2009,01/11/2011
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Nursing,01/11/2009,01/05/2012
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Nursing,01/05/2010,01/11/2013
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Nursing,01/05/2010,01/11/2012
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Nursing,01/05/2011,01/11/2013
IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,PFP,,CN,Certificate in Nursing,01/11/2010,01/05/2013
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2006,01/05/2009
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2004,01/05/2007
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2005,01/05/2008
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2007,01/05/2010
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2008,01/05/2011
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2009,01/05/2012
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CCN,Certificate In Comprehensive Nursing,01/05/2009,01/11/2011
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CCN,Certificate In Comprehensive Nursing,01/05/2010,01/11/2012
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CCN,Certificate In Comprehensive Nursing,01/05/2011,01/11/2013
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CCN,Certificate In Comprehensive Nursing,01/11/2011,01/05/2014
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CCN,Certificate In Comprehensive Nursing,01/05/2012,01/11/2014
INSTITUTE OF HEALTH SCIENCES JINJA,JINJA,PFP,,CN,Certificate in Midwifery,01/05/2012,01/11/2014
INTERNATIONAL HOSPITAL SCHOOL OF NURSING,KAMPALA,PFP,P.O. BOX - KAMPALA (University Status)  0772 592 492 ,CN,Certificate in Nursing,01/05/2004,01/11/2006
INTERNATIONAL HOSPITAL SCHOOL OF NURSING,KAMPALA,PFP,P.O. BOX - KAMPALA (University Status)  0772 592 492 ,CN,Certificate in Nursing,01/11/2004,01/05/2007
INTERNATIONAL HOSPITAL SCHOOL OF NURSING,KAMPALA,PFP,P.O. BOX - KAMPALA (University Status)  0772 592 492 ,CN,Certifiacte in Nursing,01/11/2004,01/05/2007
INTERNATIONAL HOSPITAL SCHOOL OF NURSING,KAMPALA,PFP,P.O. BOX - KAMPALA (University Status)  0772 592 492 ,DN,Diploma in Nursing,21/11/2005,21/11/2008
INTERNATIONAL HOSPITAL SCHOOL OF NURSING,KAMPALA,PFP,P.O. BOX - KAMPALA (University Status)  0772 592 492 ,DN,Diploma in Nursing,06/11/2006,06/11/2009
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CCN,Certificate In Comprehensive Nursing,01/11/2003,01/05/2006
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CCN,Certificate In Comprehensive Nursing,01/05/2010,01/11/2012
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CCN,Certificate In Comprehensive Nursing,13/11/2006,13/05/2009
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CCN,Certificate In Comprehensive Nursing,01/11/2004,01/05/2007
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CCN,Certificate In Comprehensive Nursing,01/11/2005,01/05/2008
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CCN,Certificate In Comprehensive Nursing,01/11/2007,01/05/2010
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CCN,Certificate In Comprehensive Nursing,01/07/2008,01/01/2011
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CCN,Certificate In Comprehensive Nursing,01/05/2009,01/11/2011
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CCN,Certificate In Comprehensive Nursing,01/11/2008,01/05/2011
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CCN,Certificate In Comprehensive Nursing,01/05/2011,01/11/2013
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CCN,Certificate In Comprehensive Nursing,01/05/2012,01/11/2014
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CN,Certificate in Nursing,01/05/2004,01/11/2006
ISHAKA ADVENTIST SCHOOL OF NURSING,BUSHENYI,PNFP,P.O. BOX 111 - BUSHENYI  0772 529 503 ,CN,Certificate in Nursing,01/11/2012,01/05/2015
IUIU SCHOOL OF NURSING,MBALE,PFP,,DME,Diploma in Midwifery (Extension),01/05/2011,01/11/2012
IUIU SCHOOL OF NURSING,MBALE,PFP,,DN,Diploma in Nursing,01/05/2011,01/05/2014
IUIU SCHOOL OF NURSING,MBALE,PFP,,DNE,Diploma in Nursing (Extension),01/05/2011,01/11/2012
IUIU SCHOOL OF NURSING,MBALE,PFP,,DNE,Diploma in Nursing (Extension),01/05/2012,01/11/2013
JINJA SCHOOL OF NURSING AND MIDWIFERY,JINJA,Government,P.O. BOX 43 - JINJA  0712 812 363 ,CCN,Certificate In Comprehensive Nursing,01/11/2006,01/05/2009
