KALUNGI SCHOOL OF NURSING,KALUNGU,PNFP,Nursing and Midwifery,
KAMPALA INTERNATIONAL UNIVERSITY,KAMPALA,PFP,Nursing and Midwifery,
KAMPALA INTERNATIONAL UNIVERSITY (KIU) WESTERN CAMPUS,BUSHENYI,PFP,Nursing and Midwifery,
KAMPALA UNIVERSITY SCHOOL OF NURSING,KAMPALA,PFP,Nursing and Midwifery,
KAMULI SCHOOL OF NURSING AND MIDWIFERY,KAMULI,PNFP,Nursing and Midwifery,P.O. BOX 99 - KAMULI  0782 529 642 
KIBULI NURSING TRAINING SCHOOL,KAMPALA,Government,Nursing and Midwifery,P.O. BOX 24548 - KAMPALA  0777 198 441 
KISIIZI SCHOOL OF NURSING,RUKUNGIRI,PNFP,Nursing and Midwifery,P.O. BOX 109 - KABALE  0782 543 103 
KIWOKO SCHOOL OF NURSING,NAKASEKE,PNFP,Nursing and Midwifery,P.O. BOX 149 - LUWERO  0772 972 577 
KULUVA SCHOOL OF COMPREHENSIVE NURSING,ARUA,PNFP,Nursing and Midwifery,P.O. BOX 28 - ARUA  0772 475 150/ 
LIRA SCHOOL OF COMPREHENSIVE NURSING,LIRA,Government,Nursing and Midwifery,P.O. BOX 36 - LIRA  0782 875 581 
MAKERERE UNIVERSITY,KAMPALA,Government,Nursing and Midwifery,
MASAKA SCHOOL OF COMPREHENSIVE NURSING,MASAKA,Government,Nursing and Midwifery,P.O. BOX 445 - MASAKA  0782 313 992 
MAYANJA MEMORIAL TRAINING INSTITUTE,MBARARA,PFP,Nursing and Midwifery,TEL:  0772 686 875 
MBALE SCHOOL OF NURSING AND MIDWIFERY,MBALE,PFP,Nursing and Midwifery,
MBARARA UNIVERSITY,MBARARA,Government,Nursing and Midwifery,
MENGO SCHOOL OF NURSING AND MIDWIFERY,KAMPALA,PNFP,Nursing and Midwifery,P.O. BOX 7161 - MENGO  0772 587 613 
MULAGO HEALTH TUTORS'S COLLEGE,KAMPALA,Government,Nursing and Midwifery,
MULAGO SCHOOL OF NURSING AND MIDWIFERY,KAMPALA,Government,Nursing and Midwifery,P.O. BOX 7051 - KAMPALA  0774 402 429 
MUTOLERE SCHOOL OF NURSING AND MIDWIFERY,KISORO,Government,Nursing and Midwifery,ST. FRANCIS HOSPITAL P.O. BOX 26 - KISORO  0772 850 544 
NGORA SCHOOL OF COMPREHENSIVE NURSING,KUMI,PNFP,Nursing and Midwifery,
NSAMBYA SCHOOL OF NURSING AND MIDWIFERY,KAMPALA,PNFP,Nursing and Midwifery,TEL:  0772 518 805 
PUBLIC HEALTH NURSES SCHOOL - KYAMBOGO,KAMPALA,Government,Nursing and Midwifery,
RAKAI COMMUNITY NURSING SCHOOL,RAKAI,PFP,Nursing and Midwifery,P.O. BOX 321 - KYOTERA 0772 889295
RUBAGA NURSING TRAINING SCHOOL,KAMPALA,PNFP,Nursing and Midwifery,P.O. BOX 14130 - KAMPALA  0772 558 655 
SALEEM BROTHERHOOD SCHOOL OF NURSING,MBALE,PNFP,Nursing and Midwifery,
SOROTI SCHOOL OF COMPREHENSIVE NURSING,SOROTI,Government,Nursing and Midwifery,P.O. BOX 38 - SOROTI  0782 405 989 
ST ELIZA NURSING SCHOOL,MUKONO,PFP,Nursing and Midwifery,
ST KALORI LWANGA NYAKIBALE SCHOOL OF NURSING,RUKUNGIRI,PNFP,Nursing and Midwifery,P.O. BOX 31 - RUKUNGIRI  0772 560 605 
ST MARY'S MIDWIFERY SCHOOL - KALONGO,PADER,PNFP,Nursing and Midwifery,P.O. BOX 47 - KALONG PADER  0772 440 173 
ST. FRANCIS NYENGA SCHOOL OF  NURSING,BUYIKWE,PNFP,Nursing and Midwifery,
ST. JOHN SCHOOL OF NURSING,NTUNGAMO,PNFP,Nursing and Midwifery,
ST. KIZITO HOSPITAL - MATANY SCHOOL OF NURSING ,MOROTO,PNFP,Nursing and Midwifery,P.O. 46 - MOROTO  0774 047 195 
ST. MARY'S HOSPITAL - LACOR SCHOOL OF NURSING,GULU,PNFP,Nursing and Midwifery,Tel:  0774 006 464 
THE AGA KHAN UNIVERSITY,KAMPALA,PFP,Nursing and Midwifery,
UGANDA CHRISTIAN UNIVERSITY MUKONO,MUKONO,PNFP,Nursing and Midwifery,
VILLA MARIA SCHOOL OF NURSING,MASAKA,PNFP,Nursing and Midwifery,P.O. BOX 32 - MASAKA  0772 467 014 
VIRIKA SCHOOL OF NURSING AND MIDWIFERY,KABAROLE,PNFP,Nursing and Midwifery,P.O. BOX 233 - FORTPOTAL  0772 317 722/ 
